title,abbrev_title
"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53",J Clin Child Adolesc Psychol
Electromagnetic biology and medicine,Electromagn Biol Med
Aging clinical and experimental research,Aging Clin Exp Res
Journal of the Medical Library Association : JMLA,J Med Libr Assoc
Journal of nutrition education and behavior,J Nutr Educ Behav
Omics : a journal of integrative biology,OMICS
Journal of cosmetic dermatology,J Cosmet Dermatol
Aging cell,Aging Cell
Cancer cell,Cancer Cell
Vascular pharmacology,Vascul Pharmacol
"Genes, brain, and behavior",Genes Brain Behav
Harmful algae,Harmful Algae
Autoimmunity reviews,Autoimmun Rev
Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,J Cyst Fibros
Ageing research reviews,Ageing Res Rev
Integrative cancer therapies,Integr Cancer Ther
European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,Eur J Cardiovasc Nurs
Journal of proteome research,J Proteome Res
Dementia,Dementia (London)
The international journal of lower extremity wounds,Int J Low Extrem Wounds
Molecular & cellular proteomics : MCP,Mol Cell Proteomics
Molecular imaging and biology,Mol Imaging Biol
Journal of pain & palliative care pharmacotherapy,J Pain Palliat Care Pharmacother
Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,Photochem Photobiol Sci
Nature reviews. Drug discovery,Nat Rev Drug Discov
Molecular imaging,Mol Imaging
The cerebellum,Cerebellum
BMC palliative care,BMC Palliat Care
Journal of ethnicity in substance abuse,J Ethn Subst Abuse
Medwave,Medwave
Ontario health technology assessment series,Ont Health Technol Assess Ser
Anaesthesiology intensive therapy,Anaesthesiol Intensive Ther
Journal of Indian Prosthodontic Society,J Indian Prosthodont Soc
Discovery medicine,Discov Med
Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society,Psychogeriatrics
Sensors,Sensors (Basel)
Neotropical entomology,Neotrop Entomol
Zootaxa,Zootaxa
Journal of oleo science,J Oleo Sci
Rural and remote health,Rural Remote Health
Reproductive biology,Reprod Biol
Health sociology review : the journal of the Health Section of the Australian Sociological Association,Health Sociol Rev
Journal of veterinary emergency and critical care,J Vet Emerg Crit Care (San Antonio)
African health sciences,Afr Health Sci
Journal of vision,J Vis
European journal of sport science,Eur J Sport Sci
Journal of geriatric physical therapy,J Geriatr Phys Ther
"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology",J Comp Physiol A Neuroethol Sens Neural Behav Physiol
"Education for primary care : an official publication of the Association of Course Organisers, National Association of GP Tutors, World Organisation of Family Doctors",Educ Prim Care
Journal of clinical and experimental hematopathology : JCEH,J Clin Exp Hematop
Microbial cell factories,Microb Cell Fact
Journal of cosmetic and laser therapy : official publication of the European Society for Laser Dermatology,J Cosmet Laser Ther
Macromolecular bioscience,Macromol Biosci
Cardiovascular toxicology,Cardiovasc Toxicol
Geriatrics & gerontology international,Geriatr Gerontol Int
Expert opinion on emerging drugs,Expert Opin Emerg Drugs
The European journal of health economics : HEPAC : health economics in prevention and care,Eur J Health Econ
Odontology,Odontology
Current problems in pediatric and adolescent health care,Curr Probl Pediatr Adolesc Health Care
Molecular cancer therapeutics,Mol Cancer Ther
Expert review of pharmacoeconomics & outcomes research,Expert Rev Pharmacoecon Outcomes Res
Practical neurology,Pract Neurol
Pain practice : the official journal of World Institute of Pain,Pain Pract
The spine journal : official journal of the North American Spine Society,Spine J
The Lancet. Infectious diseases,Lancet Infect Dis
Expert review of neurotherapeutics,Expert Rev Neurother
Lab on a chip,Lab Chip
The journal of nursing research : JNR,J Nurs Res
Journal of medical ultrasonics,J Med Ultrason (2001)
Expert opinion on therapeutic targets,Expert Opin Ther Targets
Journal of animal physiology and animal nutrition,J Anim Physiol Anim Nutr (Berl)
Doklady. Biochemistry and biophysics,Dokl Biochem Biophys
Archivos de cardiología de México,Arch Cardiol Mex
Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstétrique et gynécologie du Canada : JOGC,J Obstet Gynaecol Can
Emotion,Emotion
Advances in neonatal care : official journal of the National Association of Neonatal Nurses,Adv Neonatal Care
Current gene therapy,Curr Gene Ther
Expert opinion on biological therapy,Expert Opin Biol Ther
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,Beijing Da Xue Xue Bao Yi Xue Ban
Journal of infusion nursing : the official publication of the Infusion Nurses Society,J Infus Nurs
Nature reviews. Immunology,Nat Rev Immunol
Nature reviews. Cancer,Nat Rev Cancer
Expert review of anticancer therapy,Expert Rev Anticancer Ther
Australian journal of primary health,Aust J Prim Health
Best practice & research. Clinical obstetrics & gynaecology,Best Pract Res Clin Obstet Gynaecol
Best practice & research. Clinical anaesthesiology,Best Pract Res Clin Anaesthesiol
Best practice & research. Clinical rheumatology,Best Pract Res Clin Rheumatol
Expert review of molecular diagnostics,Expert Rev Mol Diagn
Clinical colorectal cancer,Clin Colorectal Cancer
Best practice & research. Clinical endocrinology & metabolism,Best Pract Res Clin Endocrinol Metab
Best practice & research. Clinical haematology,Best Pract Res Clin Haematol
Best practice & research. Clinical gastroenterology,Best Pract Res Clin Gastroenterol
Developing world bioethics,Dev World Bioeth
Developmental cell,Dev Cell
Current topics in medicinal chemistry,Curr Top Med Chem
IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,IEEE Trans Neural Syst Rehabil Eng
Journal of pharmacokinetics and pharmacodynamics,J Pharmacokinet Pharmacodyn
Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],J Esthet Restor Dent
Current allergy and asthma reports,Curr Allergy Asthma Rep
Journal of insect science,J Insect Sci
Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,Transfus Apher Sci
Mini reviews in medicinal chemistry,Mini Rev Med Chem
Current cancer drug targets,Curr Cancer Drug Targets
Current diabetes reports,Curr Diab Rep
Molecular genetics and genomics : MGG,Mol Genet Genomics
Current molecular medicine,Curr Mol Med
Internal medicine journal,Intern Med J
Clinical medicine : journal of the Royal College of Physicians of London,Clin Med (Lond)
Proteomics,Proteomics
Dental traumatology : official publication of International Association for Dental Traumatology,Dent Traumatol
Nurse education in practice,Nurse Educ Pract
Stress and health : journal of the International Society for the Investigation of Stress,Stress Health
BMC women's health,BMC Womens Health
BMC oral health,BMC Oral Health
BMC medical informatics and decision making,BMC Med Inform Decis Mak
BMC medical education,BMC Med Educ
BMC health services research,BMC Health Serv Res
BMC endocrine disorders,BMC Endocr Disord
BMC biotechnology,BMC Biotechnol
Journal of separation science,J Sep Sci
Bioprocess and biosystems engineering,Bioprocess Biosyst Eng
Journal of nanoscience and nanotechnology,J Nanosci Nanotechnol
Journal of rehabilitation medicine,J Rehabil Med
Astrobiology,Astrobiology
Nano letters,Nano Lett
ANZ journal of surgery,ANZ J Surg
Chemical record : an official publication of the Chemical Society of Japan ... [et al.],Chem Rec
FEMS yeast research,FEMS Yeast Res
"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",Infect Genet Evol
The pharmacogenomics journal,Pharmacogenomics J
"Cognitive, affective & behavioral neuroscience",Cogn Affect Behav Neurosci
The journal of evidence-based dental practice,J Evid Based Dent Pract
Experimental biology and medicine,Exp Biol Med (Maywood)
European cells & materials,Eur Cell Mater
Clinical and experimental medicine,Clin Exp Med
Tuberculosis,Tuberculosis (Edinb)
Swiss medical weekly,Swiss Med Wkly
Current pain and headache reports,Curr Pain Headache Rep
Journal of biomedical informatics,J Biomed Inform
Health information and libraries journal,Health Info Libr J
The international journal of cardiovascular imaging,Int J Cardiovasc Imaging
Mitochondrion,Mitochondrion
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Am J Transplant
BMC urology,BMC Urol
BMC surgery,BMC Surg
BMC pulmonary medicine,BMC Pulm Med
BMC public health,BMC Public Health
BMC psychiatry,BMC Psychiatry
BMC neurology,BMC Neurol
BMC medical imaging,BMC Med Imaging
BMC infectious diseases,BMC Infect Dis
BMC geriatrics,BMC Geriatr
BMC gastroenterology,BMC Gastroenterol
BMC medical research methodology,BMC Med Res Methodol
BMC emergency medicine,BMC Emerg Med
BMC cardiovascular disorders,BMC Cardiovasc Disord
BMC anesthesiology,BMC Anesthesiol
BMC plant biology,BMC Plant Biol
BMC pediatrics,BMC Pediatr
BMC ophthalmology,BMC Ophthalmol
BMC cancer,BMC Cancer
BMC pregnancy and childbirth,BMC Pregnancy Childbirth
"American journal of cardiovascular drugs : drugs, devices, and other interventions",Am J Cardiovasc Drugs
BMC microbiology,BMC Microbiol
Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],Pancreatology
Current opinion in pharmacology,Curr Opin Pharmacol
Reproduction : the official journal of the Society for the Study of Fertility,Reproduction
Trends in molecular medicine,Trends Mol Med
Trends in parasitology,Trends Parasitol
Trends in immunology,Trends Immunol
Vector borne and zoonotic diseases,Vector Borne Zoonotic Dis
International immunopharmacology,Int Immunopharmacol
Journal of immunoassay & immunochemistry,J Immunoassay Immunochem
Emergency medicine journal : EMJ,Emerg Med J
"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Otol Neurotol
Current opinion in allergy and clinical immunology,Curr Opin Allergy Clin Immunol
The American journal of bioethics : AJOB,Am J Bioeth
Neurología,Neurologia (Engl Ed)
Nefrología,Nefrologia (Engl Ed)
Actas urologicas españolas,Actas Urol Esp (Engl Ed)
Radiología,Radiologia (Engl Ed)
Archivos de la Sociedad Española de Oftalmología,Arch Soc Esp Oftalmol (Engl Ed)
Problemy radiat︠s︡iĭnoï medyt︠s︡yny ta radiobiolohiï,Probl Radiac Med Radiobiol
Primary care diabetes,Prim Care Diabetes
Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology,Arab J Gastroenterol
Annals of African medicine,Ann Afr Med
Brazilian journal of otorhinolaryngology,Braz J Otorhinolaryngol
Cognitive processing,Cogn Process
Cancer imaging : the official publication of the International Cancer Imaging Society,Cancer Imaging
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals,J Spec Oper Med
Report on carcinogens : carcinogen profiles,Rep Carcinog
Cancer research and treatment,Cancer Res Treat
"Iranian journal of allergy, asthma, and immunology",Iran J Allergy Asthma Immunol
Stapp car crash journal,Stapp Car Crash J
TheScientificWorldJournal,ScientificWorldJournal
Asian Pacific journal of cancer prevention : APJCP,Asian Pac J Cancer Prev
Brazilian journal of biology = Revista brasleira de biologia,Braz J Biol
"The European physical journal. E, Soft matter",Eur Phys J E Soft Matter
Igaku butsuri : Nihon Igaku Butsuri Gakkai kikanshi = Japanese journal of medical physics : an official journal of Japan Society of Medical Physics,Igaku Butsuri
European journal of mass spectrometry,Eur J Mass Spectrom (Chichester)
Reproductive biomedicine online,Reprod Biomed Online
European journal of paediatric dentistry,Eur J Paediatr Dent
Cochlear implants international,Cochlear Implants Int
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,World J Biol Psychiatry
Hemodialysis international,Hemodial Int
International journal of molecular sciences,Int J Mol Sci
Journal of orthopaedics and traumatology : official journal of the Italian Society of Orthopaedics and Traumatology,J Orthop Traumatol
Advances in health care management,Adv Health Care Manag
